Title,Category 2,Category 3,Supplement Facts,fail_reason_final
"MediNatura, WellMind Calming Day/Night, 100 Tablets",Homeopathy Formulas,Cognitive & Memory Formulas,,공란 또는 타입 오류
"NutraChamps, L-Arginine, 60 Easy-to-Swallow Veggie Capsules",L-Arginine,,Supplement FactsServing Size: 2 CapsulesServings Per Container: 30Amount Per Serving%Daily ValueL-Arginine HCI500 mg**L-Arginine Alphaketoglutarate 2:1500 mg**L-Citrulline DL-Malate 2:1250 mg**Grape Seed Extract (Vitis vinifera) (Standardized to 95% Proanthocyanidins)50 mg**Ginger Root Powder (Zingiber officinale)30 mg****Daily Value (DV) not established.,성분 추출 실패
"NOW Foods, Elderberry, 500 mg, 120 Veg Capsules",Elderberry Sambucus,Common Cold & Flu,Supplement FactsServing Size: 1 Veg Capsule Amount Per Serving%Daily ValueElderberry (10:1 Concentrate) (Sambucus nigra) (Fruit)500 mg****Daily Value not established.,성분 추출 실패
"Optimum Nutrition, ESSENTIAL AMIN.O. ENERGY, Watermelon, 1.29 lb (585 g)",Amino Acid Blends,,"Supplement FactsServing Size: 9 g (About 2 Scoops)Servings Per Container: 30 Amount Per Serving%Daily ValueCalories5  Total Carbohydrate1 g<1%*Sodium10 mg<1%Amino BlendMicronized Taurine, Micronized L-Glutamine, Micronized L-Arginine, Micronized L-Leucine, Beta-Alanine, Micronized L-Citrulline, Micronized L-Isoleucine, Micronized L-Valine, Micronized L-Tyrosine, Micronized L-Histidine, Micronized L-Lysine Hydrochloride, Micronized L-Phenylalanine, Micronized L-Threonine, Micronized L-Methionine.5 g**Caffeine‡100 mg**Green Tea Leaf Extract50 mg**Green Coffee Bean Extract10 mg***Percent Daily Values are based on a 2,000 calorie diet.**Daily Value not established.‡Caffeine from tea leaf and/or coffee bean.",성분 추출 실패
"Nordic Naturals, Nordic Omega-3 Fishies, For Ages 2+, Yummy Tutti Frutti Taste, 300 mg, 36 Fishies",Children's DHA & Omegas,,"Supplement FactsServing Size: 1 FishieServings Per Box: 36 Amount Per Serving% 2-4 yrs♦% 4+ yrs**Calories5  Total Fat0.5 g1%<1%Saturated Fat0 g†0%Trans Fat0 g††Total Omega-3s300 mg††EPA (Eicosapentaenoic Acid)150 mg††DHA (Docosahexaenoic Acid)100 mg††Other Omega-3s50 mg††♦Percent Daily Values are based on a 1,000 calorie diet.**Percent Daily Values are based on a 2,000 calorie diet.†Daily Value not established.1Daily Value (DV) for children 1-3 years of age. 2Daily Value (DV) for adults and children over 4 years of age. ",성분 추출 실패
"Vplab, L-Carnitine, 500 mg, 90 Capsules",L-Carnitine,,Supplement FactsServing Size: 3 CapsulesServings Per Container: 90 Amount Per Serving%Daily Value* L-Carnitine L-Tartrate1500 mg* *Daily Value not established.,성분 추출 실패
"Enzymedica, Digest Spectrum, Complete Food Intolerance Formula, 30 Capsules",Digestive Enzymes,,"Supplement FactsServing Size: 2 CapsulesServings Per Container:  15 Amount Per Serving%Daily ValueDPP-IV1,400 DPPU**Amylase Thera-blend™14,000 DU**Xylanase20,000 XU**Protease Thera-blend™98,000 HUT**Alpha Galactosidase600 GaIU**Glucoamylase40 AGU**Lactase2,000 ALU**Lipase Thera-blend™916 FCCFIP**Maltase200 DP**Cellulase Thera-blend™400 CU**Invertase150 SU**Pectinase (w/Phytase)50 Endo-PGU**Hemicellulase50 HCU****Daily Value not established",성분 추출 실패
"Solgar, Reduced L-Glutathione, 250 mg, 60 Vegetable Capsules",L-Glutathione,,Supplement FactsServing Size: 1 Vegetable Capsule Amount Per Serving% Daily ValueL-Glutathione(reduced)(Free Form)250 mg****Daily Value not established.,성분 추출 실패
"BPI Sports, CLA + Carnitine, Snow Cone, 12.34 oz (350 g)",CLA (Conjugated Linoleic Acid),L-Carnitine,"Supplement FactsServing Size: 1 Scoop (7 grams)Serving Per Container: 50 Amount Per Serving% Daily ValueCalories10 Calories from Fat10 Total Fat1 g2%†Vitamin D3 (as cholecalciferol)250 mcg (10,000 IU)1,250%Omega 6 Fatty Acids & CLA Matrix (Proprietary)Coconut oil powder (fruit), avocado oil powder (fruit), safflower oil powder (seed) [providing CLA (conjugated linoleic acid)]2.5 g**Carnitine Matrix (Proprietary blend)Carnitine betaine anhydrous, L-Carnitine Tartrate, Glycerin Propionyl L-Carnitine HCI2 g**†Percent Daily Values are based on a 2,000 calorie diet.**Daily Value not established.",성분 추출 실패
"Nature's Way, L-Theanine, 60 Veg Capsules",L-Theanine,,Supplement FactsServing Size: 2 capsulesServings Per Container: 30 Amount per capsule% Daily ValueL-Theanine (Suntheanine® )200 mg****Daily Value (DV) not established.,성분 추출 실패
"Zhou Nutrition, Energy + Focus, 60 Veggie Capsules",Cognitive & Memory Formulas,Energy Formulas,Supplement FactsServing Size: 1 Vegetable CapsuleServings Per Container: 60Amount Per Serving% Daily ValueL-Theanine200 mg**L-Leucine10 mg**Natural Caffeine (Anhydrous) (extracted from 95% Coffee arabica and 5% Coffea canephora)100 mg****Daily Value (DV) not established.,성분 추출 실패
"Eclectic Institute, Freeze Dried Fresh, Turmeric, 395 mg, 90 Veg Caps",Turmeric & Curcumin,,Supplement FactsServing Size: 1 capsule Amount Per Serving%DVOrganic Freeze-dried Turmeric rhizome (Curcuma longa)395 mg††Daily Value not established.,성분 추출 실패
"Kyolic, Aged Garlic Extract, Reserve, 60 Capsules",Garlic,,Supplement FactsServing Size: 2 capsulesServings Per Container: 30Amount per serving%Daily ValueAged Garlic Extract™†† Powder (bulb)1200 mg****Daily Value not established††Special Garlic Preparation,성분 추출 실패
"Vital Proteins, Matcha Collagen, Original Matcha, 12 oz (341 g)",Collagen Supplements,,"Supplement FactsServing Size: 1 Scoop (14 g)Servings Per Container: About 24 Amount Per Serving%Daily ValueCalories50 Total Carbohydrate3 g1%*Total Sugars2 g**Protein9 g0%* Sodium60 mg3%Collagen peptides (from bovine)10 g**Caffeine50 mg**L-Theanine20 mg**Percent Daily Values (DV) are based on a 2,000 calorie diet.*Daily Value not established",성분 추출 실패
"Vital Proteins, Collagen Peptides, Dark Chocolate Blackberry, 10.8 oz (305 g)",Collagen Supplements,,"Supplement FactsServing Size: 1 Scoop (30 g)Servings Per Container: About 10 Amount Per Serving%Daily ValueCalories110 Total Carbohydrate8 g3%*Total Sugars5 g**Protein18 g0%* Magnesium20 mg5%Sodium110 mg5%Potassium300 mg6%Collagen peptides (from bovine)20 g***Percent Daily Values are based on a 2,000 calorie diet.**Daily Value not established.",성분 추출 실패
"NB Pure, Para end, Cleanse, 90 Capsules",Intestinal Formulas,Detox & Cleanse Formulas,"Supplement FactsServing Size: 6 capsulesServing Per Container: 15 Amount Per Serving%Daily ValueProprietary Blend:Diatomaceous Earth, Black Walnut Hull, Wormwood, Clove Powder, Oil of Oregano Powder, Olive Leaf Extract, Garlic Powder (odorless), Grapefruit Seed Extract 4:1, Goldenseal Root Extract, Ginger Root Extract & Turmeric PE 4:14100 mg††Daily Value not established",성분 추출 실패
"Amazing Nutrition, L-Citrulline, 1,000 mg, 120 Tablets",L-Citrulline,,"Supplement FactsServing Size: 2 TabletsServings Per Container: 60 Amount Per Serving%Daily ValueL-Citrulline2,000 mg****Daily Value not established",성분 추출 실패
"Nature's Way, Calcium Mag & D Complex, 250 Capsules",Calcium & Magnesium,,"Supplement FactsServing Size: 3 CapsulesServings Per Container: 83 Amount Per Serving% Daily ValueTotal Carbohydrate<1 g <1%†Vitamin D3 (as cholecalciferol)5 mcg 25%Calcium (as calcium/carbonate/citrate/malate)500 mg 38%Magnesium (as magnesium oxide/citrate/aspartate)250 mg 60%†Percent Daily Values (DV) are based on a 2,000 calorie diet.",성분 추출 실패
"Dr. Axe / Ancient Nutrition, Keto Collagen, 1.19 lb (540 g)",Collagen Supplements,,"Supplement FactsServing Size: 1 Scoop (18 g)Servings Per Container:  About 30 Amount Per Serving% Daily ValueCalories70 Total Fat3 g4%*Saturated Fat3 g14%*Protein13 g KetoCollagen BlendHydrolyzed Bovine Hide Collagen Peptides, Medium Chain Triglycerides (coconut).18 g†*Percent Daily Values are based on a 2,000 calorie diet.†Daily Value not established.",성분 추출 실패
"Country Life, Pycnogenol, 100 mg, 30 Vegan Capsules",Pycnogenol,,Supplement FactsServing Size: 1 capsule Amount Per Serving% Daily ValuePycnogenol® (Pinus maritima) (100% pine bark extract)(65-75% procyanidins)100 mg**Daily Value not established.,성분 추출 실패
"Life Extension, Vitamin B12 Methylcobalamin, 1 mg, 60 Vegetarian Lozenges",B12,,"Supplement FactsServing Size: 1 Vegetarian Lozenge Amount Per Serving% Daily Value Vitamin B12 (as methylcobalamin)1 mg41,667%",성분 추출 실패
"Nutricology, Free Aminos, 100 Vegicaps",Amino Acid Blends,,"Supplement FactsServing Size: 2 CapsulesServings per Container: 50 Amount Per Serving% Daily ValueL-5-Hydroxytryptophan20 mg†Proprietary BlendL-Alanine, L-Arginine, L-Cysteine HCl, L-Cystine, L-Glutamine, Glycine, L-Histidine HCl, L-Isoleucine, L-Leucine, L-Lysine HCl, L-Methionine, L-Phenylalanine, L-Serine, Taurine, L-Theronine, L-Tyrosine, L-Valine1.363 g††Daily Value not established.",성분 추출 실패
"Nutricology, Magnesium Citrate, 90 Vegetarian Capsules",Magnesium,,"Supplement FactsServing Size: 1 CapsuleServing Per Container: 90 Amount Per Serving% Daily Value*Magnesium (as Magnesium Citrate)170 mg40%* Percent Daily Value are based on a 2,000 calorie diet.",성분 추출 실패
"HealthForce Superfoods, CircuForce, 90 Vegan Caps",Cognitive & Memory Formulas,,Supplement FactsServing Size: 1 VeganCap™ (500 mg)Servings Per Container: 90 Amount Per Serving%DVGinkgo Biloba Leaf Extract∞250 mg†Eleuthero Root Extract∞125 mg†Gotu Kola Whole Herb Extract∞125 mg††Daily Value not established.∞TruGanic™,성분 추출 실패
"Lake Avenue Nutrition, CoQ10, USP Grade Ubiquinone, 100 mg, 120 Veggie Capsules",Coenzyme Q10 (CoQ10),,Supplement FactsServing Size: 1 CapsuleServings Per Container: 120 Amount Per Serving%Daily ValueCoenzyme Q10 (Ubiquinone USP)100 mg††Daily Value not established.,성분 추출 실패
"Christopher's Original Formulas, Hawthorn Berry Heart Syrup, 16 fl oz (472 ml)",Hawthorn,,"

Supplement Facts


Serving Size: 1/2 Teaspoon


Servings Per Container: 192


 
Amount Per Serving
% Daily Value


Proprietary Blend: Fresh Wildcrafted Hawthorn Berries
1/2 Teaspoon
*


*Daily Value not established.

",성분 추출 실패
"NaturesPlus, Herbal Actives, Rhodiola, Extended Release, 1,000 mg, 30 Vegetarian Tablets",Rhodiola,,"Supplement FactsServing Size: 1 Extended-Release TabletAmount Per Serving% Daily ValueRhodiola (Rhodiola rosea root extract)(Standardized 2.7% [270 mg] polyphenols, 3% [30 mg], rosavins, 1% [10 mg] salidroside) and naturally occurring beta-vicianosides, rosin, rosarin1000 mg†Active Whole Food ComplexStandardized extracts of green tea, grape seed, red wine grape, elderberry, broccoli, spinach, carrot and tomato; spirulina, chlorella100 mcg††Daily Value not established.",성분 추출 실패
"Natural Factors, Acidophilus & Bifidus, 5 Billion, 90 Capsules",Acidophilus,Bifidus,Supplement FactsServing Size: 1 Capsule Amount Per ServingProprietary Synergistic Blend:Total Active Cell Count5 billion**Lactobacillus rhamnosus4 billion**Lactobacillus acidophilus0.5 billion**Bifidobacterium bifidum0.5 billion****Daily Value not established.,성분 추출 실패
"Gaia Herbs, Hawthorn Supreme, 120 Vegan Liquid Phyto-Caps",Hawthorn,,"Supplement FactsServing Size: 1 CapsuleServings Per Container: 120 Amount Per Serving%Daily ValueTotal Carbohydrate<1 g<1%*Proprietary Extract BlendOrganic Hawthorn berry, Organic Hawthorn leaf and flower500 mg†*Percent Daily Values are based on a 2,000 calorie diet.†Daily Value not established.",성분 추출 실패
"Natural Factors, BioCgel, Buffered Vitamin C with BerryRich, 500 mg, 90 Softgels",Vitamin C,,"Supplement FactsServing Size: 1 Softgel Amount Per Serving% Daily ValueVitamin C (calcium ascorbate)500 mg556%Calcium (ascorbate)60 mg5%BerryRich® berry blend concentrate ORAC 300(grape, pomegranate, strawberry, cranberry, blueberry, raspberry, and bilberry)50 mg**Citrus Bioflavonoids (Citrus sinensis) (fruit peel) (40% hesperidin)10 mg****Daily Value not established.",성분 추출 실패
"Kyolic, Aged Garlic Extract, Red Yeast Rice Plus CoQ10, 75 Capsules",Garlic,Red Yeast Rice,Supplement FactsServing Size: 3 CapsulesServing Per Container: 25 Amount per serving%Daily ValueOrganic Red Yeast Rice (Monascus purpureus)1200 mg*Aged Garlic Extract™† Powder (bulb)300 mg*Coenzyme Q1060 mg**Daily Value not established†Special Garlic Preparation,성분 추출 실패
"Solaray, Schizandra, 580 mg, 100 VegCaps",Schisandra (Schizandra),,Supplement FactsServing Size: 1 VegCapAmount Per Serving%Daily Value Schizandra (Schisandra chinensis) (berry)580 mg**Daily Value not established.,성분 추출 실패
"Nature's Life, L-Lysine Powder, Unflavored, 200 g",L-Lysine,Common Cold & Flu,Supplement FactsServing Size: 1/4 TeaspoonServings Per Container: 460 Amount Per Serving% Daily ValueL-Lysine HCL (from Sugar Beet Molasses)435 mg**Daily Value not established.,성분 추출 실패
"Julian Bakery, InstaKetones Potassium, 0.91 lbs (414 g)",Potassium,,"Supplement FactsServing Size: 1 Scoop (13.8 g)Servings Per Container: 30 Amount Per Serving%Daily Value*Calories30 Total Fat0 g0%Cholesterol0 g0%Potassium3800 mg80%Total Carbohydrate0 g0%Protein0 g0%Beta Hydroxybutyrate(Potassium Ketone Salts)10 g†*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.†Daily Value not established.",성분 추출 실패
"NOW Foods, CoQ10 With Hawthorn Berry, 100 mg, 180 Veg Capsules",Coenzyme Q10 (CoQ10),,Supplement FactsServing Size: 1 Veg Capsule Amount Per Serving%Daily ValueCoenzyme Q10 (CoQ10)100 mg**Hawthorn Berry (Crataegus laevigata and/or monogyna) (Fruit)400 mg****Daily Value not established.,성분 추출 실패
"Solgar, Vegan CoQ-10, 200 mg, 60 Vegetable Capsules",Coenzyme Q10 (CoQ10),,Supplement FactsServing Size: 1 Vegetable CapsuleAmount Per Serving%Daily ValueCoenzyme Q-10 (as ubiquinone)200 mg****Daily Value not established,성분 추출 실패
"Thorne Research, Pepti-Guard, 120 Capsules",Herbal Formulas,,"Supplement FactsServing Size: Two CapsulesServings Per Container: 60Two Capsules Contain:% DVDeglycyrrhizinated Licorice (DGL) extract (root) (Glycyrrhiza spp.)400 mg*Bismuth Citrate†240 mg*Aloe Vera (Gel, dehydrate powder) (Aloe barbadensis)††200 mg*Berberine HCI (from Indian Barberry extract) (root) (Berberis aristata)200 mg**Daily Value (DV) not established.†Bismuth citrate may cause a temporary and harmless darkening of the stool.††This product uses improve USA's aloe (DaltonMax 700®). Aloe PE 200:1. Berberis Concentrate Berberine HCl 85%.",성분 추출 실패
"Life Extension, Vegetarian DHA, 30 Vegetarian Softgels",DHA,,"Supplement FactsServing Size: 1 Vegetarian Softgel Amount Per Serving%Daily ValueCalories5 Total Fat0.5 g1%†DHA (docosahexaenoic acid) (from algae oil Schizochytrium sp.)200 mg****Daily Value not established.†Based on a 2,000 calorie diet.",성분 추출 실패
"Vital Proteins, Beauty Collagen, Lavender Lemon, 9 oz (255 g)",Collagen Supplements,,"Supplement FactsServing Size: 2 Scoops (18 g)Servings Per Container: About 14 Amount Per Serving%Daily ValueCalories70 Total Carbohydrate3 g<1%*Total Sugars1 g**Protein14 g Sodium100 mg4%Collagen Peptides (from bovine)15 g**Hyaluronic Acid (from sodium hyaluronate)120 mg**Bacillus Coagulans (LactoSpore)20 mg2B CFU†***Percent Daily Values (DV) are based on a 2,000 calorie diet.**Daily Value not established.†At time of manufacture. B = Billion",성분 추출 실패
"Vital Nutrients, Pancreatic Enzymes, 500 mg, 90 Capsules",Digestive Enzymes,,"Supplement FactsServing Size: 2 capsulesServings Per Container: 45 Amount Per Serving%Daily ValueFull Strength Pancreatin† providing:1000 mg* Protease223,000 USP units* Amylase 245,000 USP units * Lipase 35,500 USP units * *Daily Value not established.†Lactose Free",성분 추출 실패
"NaturesPlus, Source of Life Garden, Iron, 30 Vegan Capsules",Iron,,Supplement FactsServing Size:  1 CapsuleServings Per Container: 30 Amount Per Serving%Daily ValueIron (from Certified Organic Curry [Murraya koenigii] extract)♦18 mg100%♦Orgen Brand,성분 추출 실패
"Flora, Swedish Bitters, 8.5 fl oz (250 ml)",Herbal & Swedish Bitters,Digestive Bitters,"Supplement FactsServing Size: 1 tsp. (5 ml)Servings Per Container: 50 Amount Per Serving %Daily ValueProprietary BlendAqueous extracts of angelica root, zedoary root, cape aloe leaf, manna sap, rhubarb (rheum palmatum) root, senna leaf, myrrh resin, carline thistle root, camphor wood, valerian root, cinnamon bark, cardamom seed, saffron flower.409 mg††Daily Value not established.",성분 추출 실패
"Thorne Research, L-Glutamine Powder, 18.1 oz (513 g)",L-Glutamine,,Supplement FactsServing Size: One Scoop (5.7 g)Servings Per Container: 90 One Scoop (5.7 g) Contains:%DVL-Glutamine5 g**Daily Value (DV) not established.,성분 추출 실패
"American Health, Ester-C with Citrus Bioflavonoids, 250 mg, 120 Capsules",Ester-C,Common Cold & Flu,"Serving Size: 2 CapsulesServings Per Container: 60 Amount Per Serving % Daily Value Vitamin C(as Ester-C® Calcium Ascorbate)1,000 mg (1 g)1,111%Calcium(as Ester-C® Calcium Ascorbate)110 mg8%Citrus Bioflavonoids ComplexCitrus Bioflavonoids (Citrus limon) (fruit), Sweet Orange,Tangerine, Lime, Lemon, Acerola, Rutin, Hesperidin Complex(Citrus spp.) (fruit), Naturally Occurring Vitamin C Metabolites400 mg****Daily Value not established.",성분 추출 실패
"Jarrow Formulas, L-Carnitine 500, 500 mg, 100 Veggie Licaps",L-Carnitine,,Supplement FactsServing Size: 1 Vegetarian Licap®Servings Per Container: 100 Amount Per Serving% DVL-Carnitine (free base)500 mg††Daily Value not established.,성분 추출 실패
"Advanced Orthomolecular Research AOR, Advanced Magnesium Complex, 90 Capsules",Magnesium,,"Supplement FactsServing Size: 1 CapsuleServing Per Container: 90Per CapsulePer Day (3 Capsules) Amount Per Serving% Daily ValueAmount Per Serving% Daily ValueVitamin C (from magnesium ascorbate)100 mg111%300 mg333%Magnesium (from magnesium glycinate, ascorbate, malate, and aspartate)100 mg25%300 mg70%Glycine (from Magnesium Glycinate)480 mg†1,440 mg†Aspartate (from Magnesium Aspartate)50 mg†150 mg†Malate (from Magnesium Malate)50 mg†150 mg††Daily Value not established.",성분 추출 실패
"NOW Foods, Elderberry Liquid, 500 mg, 8 fl oz (237 ml)",Elderberry Sambucus,Common Cold & Flu,"Supplement FactsServing Size: 1 Teaspoon (5 ml)Servings Per Container: about 47 Amount Per Serving%Daily ValueCalories15 Total Carbohydrate4g1%**Elderberry (10:1 Concentrate) (Sambucus nigra) (Fruit)500 mg†**Percent Daily Values are based on a 2,000 calorie diet.† Daily Value not established.",성분 추출 실패
"Kyolic, Aged Garlic Extract, Immune, Formula 103, 200 Capsules",Garlic,Immune Formulas,"Supplement FactsServing Size: 2 CapsulesServings Per Container: 100 Amount per Serving% Daily ValueVitamin C (calcium ascorbate)105 mg117%Aged Garlic Extract™†† Powder (bulb)440 mg**Premium Mushroom Complex150 mg**Shiitake, Maitake, Poria Cocos, Reishi and AgaricusAstragalus extract (root)100 mg**Oregano Extract (leaf)100 mg**Olive Leaf extract (oleuropein 18%)80 mg****Daily Value not established.††Special Garlic Preparation.",성분 추출 실패
"Kyolic, Aged Garlic Extract, CoQ10, Formula 110, 100 Capsules",Coenzyme Q10 (CoQ10),Heart Support Formulas,Supplement FactsServing Size: 2 CapsulesServings Per Container: 50 Amount Per Serving%Daily ValueAged Garlic Extract™†† Powder (bulb)600 mg**Coenzyme Q1060 mg****Daily Value not established†† Special Garlic Preparation,성분 추출 실패
"Kyolic, Kyo-Dophilus, Daily Probiotic, 3 Billion CFU, 360 Capsules",Probiotics,Immune Formulas,"Supplement Facts Serving Size: 2 capsules Servings Per Container: 180 Amount Per Serving% Daily ValueProprietary BlendLactobacillus gasseri KS-13, Bifidobacterium bifidum G9-1, Bifidobacterium longum MM-23 billion live cells†**** Daily Value not established† Prior to Expiration",성분 추출 실패
"Natural Vitality, CALM, The Anti-Stress Drink Mix,  Sweet Lemon, 16 oz (453 g)",Magnesium,,Supplement FactsServing Size: 2 teaspoons (4 g)Servings Per Container: About 113 Amount per Serving% DVMagnesium (as magnesium carbonate)325 mg77%Percent Daily Value (% DV),성분 추출 실패
"Protocol for Life Balance, Magnesium Citrate, 180 Softgels",Magnesium,,"Supplement FactsServing Size: 3 SoftgelsServings Per Container: 60 Amount Per Serving%Daily Value* Calories20   Total Fat2 g  3%**  Magnesium (from Magnesium Citrate, Magnesium Glycinate and Magnesium Malate)400 mg95% **Percent Daily Values are based on a 2,000 calorie diet.",성분 추출 실패
"Wiley's Finest, Wild Alaskan Fish Oil, Prenatal DHA, 600 mg, 60 Fish Softgels",Pre & Post-Natal Formulas,,"Supplement FactsServing Size: 2 SoftgelsServings Per Container: 30 Amount Per Serving% Daily Value*Calories15 Total Fat1.5 g2%Cholesterol15 mg5%Concentrated Fish Oil1200 mgEPA (Eicosapentaenoic Acid)120 mg**DHA (Docosahexaenoic Acid)600 mgOther Omega-3 Fatty Acids60 mg*The % Daily Value (DV) tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice.**Daily Value not established",성분 추출 실패
"Pure Essence, BrainEssence, 60 Tablets",Cognitive & Memory Formulas,,"Supplement FactsServing Size: 2 TabletsServing Per Container: 30 Amount Per Serving%Daily ValueAcetyl-L-Carnitine500 mg*Bacopa monnieri extract (whole herb)300 mg*Organic Ashwagandha extract (root) (KSM-66®)200 mg*Mucuna pruriens (seed)200 mg*Schizandra extract (fruit and seed)200 mg*Phosphatidylserine (Sharp PS®, soy-free)100 mg*Alpha lipoic acid100 mg*Gotu kola extract (leaf)75 mg*Rhodiola extract (RhodioLife® - Certified Standardized Siberian Rhodiola root extract)50 mg*Fisetin extract (stem) (Novusetin®)10 mg*Chinese club moss extract (whole herb) (1% huperzine-A)100 mcg**Daily Value (DV) not established.",성분 추출 실패
"FutureBiotics, Methyl B-12, Cherry, 5,000 mcg, 90 Vegetarian Lozenges",B12,,"Supplement FactsServing Size: 1 LozengeServings Per Container: 90 Amount Per Serving%Daily Value Vitamin B12  (as Methylcobalamin)5000 mcg 208,333%",성분 추출 실패
"Thorne Research, Iodine & Tyrosine, 60 Capsules",L-Tyrosine,Iodine,Supplement FactsServing Size:  One Capsule One Capsule Contains:%Daily ValueIodine (as Potassium Iodide)225 mcg150%L-Tyrosine500 mg**Daily Value (DV) not established.,성분 추출 실패
"Christopher's Original Formulas, X-INFX, 440 mg, 100 Vegetarian Caps",Herbal Formulas,,"Supplement FactsServing Size: 2 CapsulesServings per Container: 50 Amount Per Serving% Daily ValueProprietary BlendWildcrafted Black Walnut Leaf, Wildcrafted Goldenseal Root, Wildcrafted Bugleweed Herb, Wildcrafted Plantain Leaf, Wildcrafted Marshmallow Root, and Organic Lobelia Herb880 mg**Daily Value not established",성분 추출 실패
